Date,Position,Company,Type,Qualifications,Role
1/16/2026,DevOps Engineer,TECEZE,Onsite,"Strong hands-on experience in DevOps or Cloud Engineering roles.
Practical experience with AWS and/or Azure cloud platforms.
Good knowledge of Linux systems and scripting.
Experience with CI/CD tools and automation workflows.
Hands-on experience with Docker and container-based deployments.
Good understanding of networking, security, and system reliability.
Familiarity with Git and collaborative development practices.
Strong problem-solving and troubleshooting skills.","loud Infrastructure & Deployment
Design, deploy, and manage cloud infrastructure using AWS and/or Azure.
Provision and maintain compute, storage, networking, and security resources.
Ensure system availability, scalability, and reliability across environments.
Manage development, staging, and production environments.
CI/CD & Automation
Build and maintain CI/CD pipelines for automated build, testing, and deployments.
Implement Infrastructure as Code (IaC) using tools such as Terraform / CloudFormation / ARM templates.
Automate routine operational tasks to improve efficiency and consistency.
Containerization & Performance
Build and manage containerized applications using Docker.
Deploy and manage containers using Kubernetes (EKS/AKS) or similar platforms."
1/9/2026,Lead QA Engineer,IGT1,Hybrid,"Bachelor's degree in Computer Science, Engineering, or a related field. 
7+ years of experience in software testing. 
Familiarity with automation testing frameworks like SpecFlow, Cucumber, JMeter, Postman or equivalent. 
Experience with GitHub actions or TeamCity and equivalent pipelines. 
Knowledge of C#
REST API testing knowledge - manual & automation
Design and execute automation tests
UAT, regression, and production validation. 
Understanding of CI/CD pipelines and test execution. 
Knowledge of containerization and orchestration tools (e.g., Docker, Kubernetes). 
Performance testing with K6/JMeter / Gatling or any equivalent tool ","Develop and execute test plans, test cases, and test scripts. 
Perform manual and automated testing of applications. 
Identify, document, and track defects and issues. 
Collaborate with developers to resolve defects and improve software quality. 
Participate in code reviews and provide feedback on testability and quality. 
Contribute to both external and internal product documentation
Create and maintain test strategies, test cases, and traceability. 
Collaborate with Product Owners, Developers, DevOps. 
Provide release sign-off and risk assessments. 
Drive QA best practices and continuous improvement. "
1/9/2026,Javascript Developer,TECEZE,Onsite,"Minimum 6+ years of hands-on experience in frontend development.
Expert-level knowledge of React JS, JavaScript (ES6+), HTML5, CSS3.
Strong experience with state management (Redux, Context API, or equivalent).
Solid understanding of RESTful APIs and frontend-backend integration.
Experience with Git and modern development workflows.","Architect, develop, and maintain complex web applications using React JS and modern JavaScript standards.
Convert high-fidelity UI/UX designs into pixel-perfect, accessible, and performant user interfaces.
Design reusable components, hooks, and frontend libraries following best practices.
Ensure optimal performance, scalability, and cross-browser compatibility.
Integrate frontend systems with backend APIs and services."
1/10/2026,Full Stack Engineer,,onsite,"Education
Bachelor’s degree in Engineering, Computer Science, or a related field.
Experience
6+ years of full-stack development experience using React and .NET Core.
Frontend Requirements
Strong hands-on experience with React, TypeScript, HTML, and CSS.
Experience with canvas or diagram libraries is a strong advantage.
Solid design instincts with good UI/UX awareness and attention to detail.
Backend Requirements
Strong experience in .NET Core application development using C#.
Exposure to scalable server-side architectures.
Familiarity with concurrent programming, orchestration frameworks, and design patterns such as state machines.
Solid understanding of REST API design, development, and integration.
Tools & Engineering Practices
Experience with CI/CD pipelines and MS SQL Server.
Proficiency in Visual Studio, VS Code, Jira, Confluence, and GitHub.
Strong unit testing skills, preferably using NUnit.
Experience working in an Agile/Scrum development environment.","Design, develop, and deliver software solutions in close collaboration with the client’s engineering team.
Work directly with client product managers and engineers to understand requirements and translate them into robust technical solutions.
Ensure high-quality, reliable, and timely delivery of software features and enhancements.
Uphold coding standards, enforce best practices, and continuously improve code quality and system design."
1/9/2026,Backend Engineer,Mission.dev,Remote ,"A proactive engineer who can confidently dive into unfamiliar codebases and deliver results efficiently.
Strong product mindset, with a definition of quality rooted in customer impact and outcomes.
Experience with, or a strong willingness to learn, distributed systems development using Scala.","Design, build, and operate scalable APIs and backend systems, with occasional contributions across the stack as needed.
Work autonomously while partnering closely with engineers, designers, and product managers to maintain strong alignment.
Identify and drive engineering improvements that enhance both the product and team effectiveness.
Collaborate cross-functionally with product teams, other internal engineering groups, and external partner teams."
1/16/2026,Software Engineer,Speechify,Remote ,"Swift / SwiftUI (macOS) proficiency.
Solid understanding of AppKit, macOS frameworks, and desktop-specific UI paradigms.
Strong understanding of concurrency and asynchronous execution models
Familiarity with Bitrise, CI/CD workflows (e.g., Xcode Cloud, GitHub Actions).
Strong understanding of concurrency and asynchronous execution models","Lead key engineering and product decisions for the macOS app.
Write, test, and ship production-quality code that scales to millions of users.
Maintain and evolve complex app architecture with a focus on performance and stability.
Work within a cross-functional team, partnering with designers and PMs to shape features from concept to launch.
Participate in product planning and roadmap discussions.
Drive continuous improvement in code quality, CI/CD processes, and development workflows."
1/9/2026,Frontend Engineer,HeyMilo AI,Remote ,"3+ years of professional frontend engineering experience
Strong React + TypeScript fundamentals
Experience with Next.js (or similar React frameworks)
Comfortable handling async data, streaming updates, and complex state
Strong HTML/CSS fundamentals and attention to UI detail
Experience with component libraries or design systems (Tailwind, shadcn/ui, etc.)
You take high ownership and execute strongly
You write most of your code in Cursor. Familiarity with Devin is a plus
Availability to work US time–based hours (or significant overlap)","Building and shipping core frontend features used in live AI interviews
Designing and implementing complex, real-time UI flows
Owning frontend features end-to-end (from idea production iteration)
Working closely with designers to turn UX into clean, production-ready UI
Collaborating with backend and AI engineers on tightly coupled systems
Improving performance, reliability, and UX polish
Debugging and fixing real production issues"
1/16/2026,Senior Software Engineer,TransMedia Inc.,Hybrid,"trong expertise in .NET Framework / .NET Core and C#
Experience designing and building RESTful APIs
Solid understanding of OOP, SOLID principles, and clean architecture
Experience with relational or NoSQL databases (e.g., SQL Server, MongoDB)
Experience with unit, integration, and functional testing
Working knowledge of Agile development methodologies
Hands-on experience with Git and Linux environments
Experience in Docker-based development workflows
Exposure to Azure services, Next.js, React, Jira, and Jenkins is a strong plus
3+ years of professional experience as a Backend or Full Stack Engineer
","Design, build, and maintain robust backend services using .NET
Improve performance, scalability, and reliability across our SaaS product ecosystem
Write clean, modular, and maintainable code using best practices
Participate in architecture decisions for backend systems and cloud infrastructure
Troubleshoot complex production issues and deliver timely solutions
Work collaboratively in a fast-paced, Agile team environment
Learn and adopt new technologies to introduce new features and optimise existing ones
Take ownership, think proactively, and contribute innovative ideas"
1/16/2026,System Engineer,IFS,Onsite,"Bachelor’s degree in Computer Science, Information Technology or related field. 
3–6 years of experience in cloud infrastructure, system administration or DevOps roles. 
Proven hands-on experience with:
Azure Virtual Machines (VMs) – provisioning, scaling, and managing workloads. 
Azure Virtual Networks (VNets) – configuration, security, and connectivity. 
Azure Networking Components – Load Balancers, VPN Gateway, ExpressRoute, Application Gateway, DNS, and Firewall. 
Microsoft Azure services – Storage, App Services, AKS, Monitoring, and Security. 
Azure DevOps – Repos, Pipelines, Artifacts, and Boards. 
Proficiency in scripting languages (PowerShell, Python). 
Experience with Infrastructure as Code (ARM, Bicep, Terraform). 
Strong knowledge of Azure networking, hybrid connectivity and security best practices. 
Strong understanding of networking concepts and Azure networking services. 
Knowledge of Azure security best practices and tools. 
Microsoft Certified: Azure Administrator Associate. ","Design, deploy and manage scalable, secure and high-performing Azure infrastructure. 
Implement best practices for Azure networking, storage, security and resource optimization. 
Manage on premise IT infrastructure, 3rd party software like CDATA
Design, deploy, and manage Azure Virtual Machines (VMs), ensuring optimal performance, security and cost efficiency. 
Configure and manage Azure Virtual Networks (VNets), including subnets, peering, routing and network security groups (NSGs). 
Implement Azure networking solutions, such as VPN Gateways, Application Gateways, Load Balancers, ExpressRoute and Private Endpoints, Build, maintain and optimize CI/CD pipelines using Azure DevOps. 
Automate deployment processes for infrastructure and application code. 
Integrate version control (Git), testing and release management in DevOps workflows. 
"
1/16/2026,Associate Systems Engineer,Acumatica APAC,Hybrid,"Bachelor’s degree in Information Technology, Computer Science or equivalent 
At least 2+ years’ experience in administration of Windows environments 
At least 2+ years’ experience in basic scripting 
At least 1+ years’ experience in relational databases, preferably using MS SQL 
At least 1+ years’ experience in managing websites, preferably using IIS 
Willingness to adhere to and analyze standards/procedures for workflow and change management. 
Excellent Troubleshooting skills, extremely customer-oriented, treating co-workers and customers with the utmost consideration and respect. 
Analytical and problem-solving abilities and the ability to effectively prioritize and execute tasks in a high-pressure just-in-time environment 
Experience with Accounting, ERP, or other business management software is a plus. ","Incident management. Day-to-day monitoring of the production service delivery environment to ensure all services and applications are operating optimally and Service Level Agreements (SLAs) are met 
Administering and maintaining Acumatica SaaS Deployment lifecycle operations 
Assist in operating and maintaining AWS environments following standard procedures 
Identify optimization opportunities and solve problems affecting service delivery across all deployed applications, shared services, middle-ware and databases/data stores 
Provide level 2/3 support for customer/partner initiated issues 
Identify systems deficiencies and recommend solutions 
Document forecasts, plans and resolutions for on-going and future reference 
Innovate, promote and drive adoption of tools, technologies, policies and procedures in support of continuous improvement "
1/16/2026,Senior Front-End & Mobile Developer,Growthprof,Hybrid,"Bachelor’s degree in Computer Science, Software Engineering, or related field; Master’s preferred.
5+ years of experience in front-end development, with 3+ years in React, React Native & Next.js .
Expert-level knowledge of HTML5, CSS3, JavaScript (ES6+), and TypeScript.
Proven experience developing and deploying cross-platform mobile apps using React Native.
Deep understanding of React architecture, including hooks, context, and advanced optimization (useMemo, useCallback, memo).
Hands-on experience with state management (Redux, Zustand).
Solid understanding of RESTful APIs, GraphQL, and backend integration patterns.
Experience leading technical teams and managing front-end or mobile project delivery.
Strong foundation in responsive design, accessibility, and performance optimization.
Familiarity with modern version control (Git) and CI/CD workflows.","Lead a small team of front-end and mobile developers, providing mentorship, architectural guidance, and technical oversight.
Architect and implement scalable, high-performance user interfaces for both web and mobile applications using React and React Native.
Define and enforce front-end and mobile development best practices, coding standards, and reusable component libraries.
Drive architectural decisions across the front-end and mobile stack, focusing on performance, modularity, and maintainability.
Collaborate closely with backend engineers to design efficient data flow and integration with APIs.
Optimize app performance through code-splitting, lazy loading, and native-level optimization techniques.
Lead code reviews, ensuring high-quality, maintainable, and well-documented codebases.
Champion modern development workflows, including CI/CD, automated testing, and advanced state management.
Explore and integrate technologies such as micro-frontends, progressive web apps (PWA), and cross-platform UI frameworks.
Drive UI consistency across web and mobile by translating Figma designs into pixel-perfect implementations."
1/9/2026,Software Engineer,H2O.ai,Hybrid,"2+ years of professional software engineering experience.
Strong programming skills in Python, Go, and React (or demonstrated ability to quickly master new technologies).
Experience with cloud platforms (AWS, Azure, or GCP) and cloud-native architectures.
Hands-on experience with CI/CD pipelines and DevOps practices.
Proven ability to deliver features end-to-end, from design through deployment.
Track record of learning quickly and adapting to new technologies and domains.
 Essential Attributes
Can-do attitude: You see obstacles as puzzles to solve, not roadblocks.
Ownership mentality: You take pride in delivering high-quality solutions and stand behind your work.
Fast learner: You're energized by new challenges and technologies, especially in ML and generative AI.
Team player: You collaborate effectively, share knowledge, and elevate those around you.
Execution-focused: You bias toward action and deliver results consistently.
Innovative mindset: You're excited about pushing boundaries in generative AI applications.
 Tech Stack
Languages: Python, Go, React/JavaScript
Cloud: AWS, Azure, GCP
Domain: Generative AI, LLMs, ML infrastructure
Tools: CI/CD pipelines, containerization, distributed systems","Design, develop, and deploy full stack features for the H2OGPTe platform from concept to production.
Build and maintain robust systems software using Python, Go, and React.
Implement and optimize solutions across major cloud platforms (AWS, Azure, GCP).
Own the complete development lifecycle including CI/CD pipelines, testing, deployment, and monitoring.
Collaborate closely with ML researchers and engineers to productionize generative AI innovations.
Debug complex distributed systems issues and deliver creative solutions under pressure.
Contribute to architectural decisions that shape the future of our generative AI platform.
Rapidly prototype new capabilities and iterate based on user feedback.
"
1/16/2026,Senior Systems Engineer,Emapta Global,Hybrid,"Bachelor's degree in IT, Computer Science, or a related field
Minimum 5 years of hands-on experience in systems engineering or infrastructure roles
Strong expertise in Windows Server and Active Directory
Solid understanding of Linux fundamentals
Experience with Azure, AWS, and hybrid cloud infrastructures
Proficiency in identity and access management, endpoint management, and patching (ConnectWise or equivalent RMM)
Advanced automation and scripting skills (PowerShell required; Python or Bash a plus)
Experience with virtualization platforms (VMware, Hyper-V, Proxmox)
Strong knowledge of networking fundamentals (DNS, DHCP, TCP/IP, firewalls, VPN)","Administer and support Windows Server, Active Directory, Group Policy, DNS, DHCP, and core infrastructure services
Manage Linux systems, perform routine maintenance, enforce security hardening, and troubleshoot issues
Design, implement, and maintain hybrid cloud environments across Azure and/or AWS
Maintain and optimize identity and access management, conditional access, MFA, and security best practices
Manage endpoint environments, including deployment, monitoring, patching, and compliance using ConnectWise Automate or other RMM tools
Administer and optimize virtualization platforms including VMware, Hyper-V, and Proxmox
Collaborate with the Network team on connectivity, firewall rules, VPN access, and network troubleshooting while maintaining knowledge of TCP/IP, DNS, and core networking concepts
Monitor infrastructure performance and system health; prevent outages and service degradation"
1/16/2026,Senior Frontend Developer,Aster,Remote ,"Frontend Technologies
Advanced proficiency in React (modern React patterns, hooks, Next.js).
Expert-level TypeScript skills, including complex types and generics.
Experience with state management tools such as Zustand or Redux.
Strong knowledge of Tailwind CSS, custom design systems, and responsive layouts.
Familiar with performance optimization: Webpack tuning, code splitting, lazy loading, and bundle size control.
Web3 & Blockchain
Experience with wallet integration libraries (Wagmi, Web3Modal, etc.).
Familiarity with blockchain networks such as Ethereum, BSC, Arbitrum, Scroll, or Solana.
Understanding of smart contract interactions and transaction flows.
Knowledge of DeFi protocols and their integration patterns is a plus.","Design and implement scalable frontend architectures for high-frequency trading applications.
Build responsive interfaces that handle real-time market data, WebSocket connections, and live price feeds.
Develop sophisticated trading components including order forms, charts, position management, and portfolio dashboards.
Implement wallet connections, blockchain interactions, and DeFi protocol integrations.
Create responsive designs that work seamlessly across desktop and mobile devices."
1/16/2026,Senior Software Engineer,PetDesk,Hybrid,"4–5 years of experience in PHP/Python, with a solid understanding of modern frameworks and development practices
A deep understanding of SOLID principles, RESTful API design, and common software design patterns (including architectural and component diagrams)
Proficiency in JavaScript/TypeScript for front-end or full-stack development.
Practical experience with Docker and Kubernetes for containerization and orchestration.
Familiarity with AWS infrastructure and cloud-native application development.
Experience working in Agile/Scrum environments and applying Test-Driven Development (TDD) practices.
Strong problem-solving skills and a product-first mindset, with the ability to balance technical excellence and business impact.","Write clean, clear, and maintainable code that stands the test of time
Review code thoughtfully and mentor teammates to elevate their craft
Tackle complex problems with strong analytical and problem-solving skills
Work across the full stack — from CSS and HTML to databases and DevOps
Champion engineering best practices (code reviews, CI/CD, testing, documentation)
Take complete ownership of features from design to production and beyond"
1/23/2026,Senior Full- Stack Engineer,Talent Studio,Hybrid,"5+ years of full-stack software development experience.
Strong expertise in TypeScript and modern JavaScript frameworks.
Hands-on experience with React and/or Next.js.
Proven experience working on ERP systems or finance integrations.
Strong knowledge of PostgreSQL and SQL performance optimization.
Experience working with cloud platforms, preferably Azure.
Experience using AI-assisted development tools such as Claude Code is a strong advantage.
Strong problem-solving skills, ownership mindset, and ability to work independently.
Graduates from UOM, IIT, UCSC, or similar recognized Sri Lankan universities are preferred.
","Architect, develop, and maintain full-stack applications using TypeScript across frontend and backend systems.
Build modern, performant user interfaces using React / Next.js.
Design and optimize PostgreSQL database schemas supporting ERP and financial workflows.
Develop and maintain integrations with ERP platforms and financial systems (accounting, invoicing, billing, payroll, payments).
Integrate with third-party finance APIs while ensuring data accuracy, security, and transactional integrity.
Ensure strong type safety, clean architecture, and high code quality across the stack.
Leverage Claude Code for AI-assisted development, refactoring, debugging, and documentation, validating all outputs for quality and security."
1/23/2026,Principal Database Engineer,Frontline Data Solutions,Remote ,"Advanced SQL Expertise:10+ years of experience with SQL Server and similar RDBMS, specializing in expert-level SQL, query tuning, indexing strategies, and execution plan analysis. Strong background in performance engineering (database optimizers, schema design) and high-availability architectures, including replication, read replicas, and Availability Groups. 
System Modernization: Proven ability to incrementally improve legacy databases, optimize workloads, and enhance system reliability. 
Cross?Functional Communication: Able to clearly explain database concepts and collaborate effectively with engineering, product, and technical teams. ","Data Architecture: Design and evolve database schemas and models to support new product features, scalability, and long?term performance. 
Performance Optimization: Tune queries, indexing, and database configurations while partnering with engineers to write efficient, reliable data workflows. 
 Reliability & Recovery: Implement and maintain backups, disaster recovery, replication, and high?availability processes to ensure data integrity. 
Operations Management: Monitor database health, troubleshoot incidents, and manage upgrades, patches, and migrations across environments. 
Cross?Team Collaboration: Work closely with Product, Engineering, and Technical Services to align data solutions with platform and customer needs. "
2/6/2026,DevOps Engineer,Rhino Partners,Remote ,"Hands-on experience with *Microsoft Azure; **AWS experience is beneficial*
? ?Experience with *Infrastructure as Code (IaC)* using *Terraform; **CloudFormation is a plus*
? ?Strong experience in *PowerShell scripting* for automation tasks
? ?Knowledge and experience with *Azure DevOps* or other *CI/CD tools*
? ?Foundational knowledge and hands-on exposure to *Docker and Kubernetes*","?Design, implement, and maintain *CI/CD pipelines* using *Azure DevOps*
? ?Provision and manage *cloud infrastructure* on *Azure and AWS* using *Terraform*
? ?Develop and maintain *PowerShell scripts* for infrastructure and operational automation
? ?Manage and monitor *Azure cloud resources*, ensuring availability, performance, and security
? ?Collaborate and coordinate with *cross-functional teams* to support deployments and infrastructure needs"
1/23/2026,Senior DevOps Engineer ,Creative Software,Hybrid,"Proven experience with AWS cloud services (EC2, RDS, S3, ECS, Lambda, etc.)
.Strong hands-on experience with GitLab CI/CD
.Demonstrated ability to build pipelines from scratch
.Practical experience with Infrastructure as Code tools (Terraform, CloudFormation, or similar)
.Proficiency with Docker and container-based deployments
.Familiarity with applications built in Golang and JavaScript, and ability to integrate DevOps practices for these stacks
.Strong scripting and automation skills (e.g., Python, Bash, PowerShell or similar)
.Excellent troubleshooting and problem-solving abilitie
","Understanding of programming languages (such as Golang, JavaScript, or others) to support developm
entDesign, build, and maintain CI/CD pipelines using GitL
ab.Develop and manage Infrastructure as Code (IaC) for deployments (e.g., Terraform, CloudFormatio
n).Automate deployment processes and workflows to improve speed, reliability, and consisten
cy.Ensure best practices in cloud infrastructure for scalability, performance, and securi
ty.Collaborate with software engineers (working in Golang and JavaScript) to optimize the delivery lifecycle from code to producti"
1/30/2026,Zoho Developer,TECEZE,Onsite,"Hands-on experience with Zoho Creator and Deluge scripting.
Strong understanding of workflow automation and application development in Zoho.
Experience with REST API integrations and third-party system connections.
Familiarity with databases and data structures.
Good problem-solving skills and ability to debug scripts and applications.
Ability to work collaboratively in a team environment.","Development & Automation
Design and develop applications using Zoho Creator.
Automate business processes using Deluge scripting.
Build reusable forms, reports, and workflows for efficiency and maintainability.
Translate business requirements into functional applications and automated workflows."
1/30/2026,Software Architect,Sysco LABS,Hybrid,"A Bachelor’s or Master’s Degree in Computer Science, Data Engineering, or a related field
8+ years of experience in Data Science, Machine Learning Engineering, or DevOps, including 5+ years in a leadership capacity
Proven experience implementing enterprise-grade MLOps platforms on cloud environments (GCP, AWS, or Azure)
A deep understanding of machine learning lifecycle management, CI/CD automation, and AI governance
Must possess a strong background in cloud-native technologies (Docker, Kubernetes, Terraform, Airflow)
Familiarity with data governance, security, and compliance frameworks (e.g., GDPR, HIPAA, Responsible AI)","Leading the strategy, design, and operation of the enterprise MLOps platform to support scalable ML/AI model development and deployment
Owning the evaluation, integration, and administration of MLOps tools (e.g., Vertex AI, MLflow, Kubeflow, DataRobot, custom frameworks)
Partnering with the Data Platform Engineering team to align platform integrations with enterprise CI/CD pipelines and lifecycle governance frameworks
Implementing a unified model registry, metadata store, and lineage tracking system to ensure auditability and reproducibility of ML assets"
2/1/2026,Senior QA Engineer,iLabs,Onsite,"4+ years of experience in software quality assurance.
Proficient in QA methodologies, processes, and tools such as TestRail and Jira.
Solid experience in an Agile/Scrum development environment.
Ability to develop robust test strategies, plans, and cases.
Practical knowledge of at least one programming or scripting language.
Familiarity with Selenium or similar automation frameworks.
Understanding of SQL.","Prepare and execute detailed smoke and regression test scenarios.
Maintain and update test cases to ensure thorough coverage and effectiveness.
Collaborate with development teams to identify and resolve issues, ensuring the integrity of software releases.
Provide quality assurance support to our weekly releases 
Review requirements, specifications, and technical design documents to come up with test plans, test cases, and testing requirements and estimate the testing effort 
Implement automated testing using open-source tools 
Identifying, documenting, and tracking bugs 
Perform thorough testing on resolved bugs 
Develop and apply testing processes for new and existing products to meet client needs"
3/1/2026,Cloud Operations Engineer,IGT1,Hybrid,"Understanding of Java JVM, JDK/JRE
Ability to interpret java heap dumps and thread dumps
Linux system administration experience
Outstanding problem solving and logical thinking skills
Great communication skills in English",
